,bomtitle,bomlink,year,genre_text,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7
54,Frequency,https://www.boxofficemojo.com/release/rl3377628673/?ref_=bo_yld_table_55,2000,"['Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",Crime,Drama,Mystery,Sci-Fi,Thriller,,,
55,The Replacements,https://www.boxofficemojo.com/release/rl2624423425/?ref_=bo_yld_table_56,2000,"['Comedy', 'Sport']",Comedy,Sport,,,,,,
56,Pokémon the Movie 2000,https://www.boxofficemojo.com/release/rl443254273/?ref_=bo_yld_table_57,2000,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy']",Action,Adventure,Animation,Family,Fantasy,,,
57,Miss Congeniality,https://www.boxofficemojo.com/release/rl3848439297/?ref_=bo_yld_table_58,2000,"['Action', 'Comedy', 'Crime', 'Romance']",Action,Comedy,Crime,Romance,,,,
58,Any Given Sunday,https://www.boxofficemojo.com/release/rl2135066113/?ref_=bo_yld_table_59,2000,"['Drama', 'Sport']",Drama,Sport,,,,,,
59,The Beach,https://www.boxofficemojo.com/release/rl1027900929/?ref_=bo_yld_table_60,2000,"['Adventure', 'Drama', 'Romance', 'Thriller']",Adventure,Drama,Romance,Thriller,,,,
60,The Exorcist,https://www.boxofficemojo.com/release/rl1364231681/?ref_=bo_yld_table_61,2000,['Horror'],Horror,,,,,,,
61,Pitch Black,https://www.boxofficemojo.com/release/rl3915941377/?ref_=bo_yld_table_62,2000,"['Horror', 'Sci-Fi']",Horror,Sci-Fi,,,,,,
62,The Emperor's New Groove,https://www.boxofficemojo.com/release/rl2572256769/?ref_=bo_yld_table_63,2000,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Adventure,Animation,Comedy,Family,Fantasy,,,
63,The Family Man,https://www.boxofficemojo.com/release/rl4132472321/?ref_=bo_yld_table_64,2000,"['Comedy', 'Drama', 'Fantasy', 'Romance']",Comedy,Drama,Fantasy,Romance,,,,
64,Little Nicky,https://www.boxofficemojo.com/release/rl694257153/?ref_=bo_yld_table_65,2000,"['Comedy', 'Fantasy']",Comedy,Fantasy,,,,,,
