year,bomrank,bomtitle,imdblink,bomlink
2004,82,Closer,http://www.imdb.com/title/tt0376541/,http://www.boxofficemojo.com/movies/?id=closer.htm
2004,83,The Punisher,http://www.imdb.com/title/tt0330793/,http://www.boxofficemojo.com/movies/?id=punisher.htm
2004,84,Team America: World Police,http://www.imdb.com/title/tt0372588/,http://www.boxofficemojo.com/movies/?id=teamamerica.htm
2004,85,Taking Lives,http://www.imdb.com/title/tt0364045/,http://www.boxofficemojo.com/movies/?id=takinglives.htm
2004,86,Anacondas: The Hunt for the Blood Orchid,http://www.imdb.com/title/tt0366174/,http://www.boxofficemojo.com/movies/?id=anacondas.htm
2004,87,Cellular,http://www.imdb.com/title/tt0337921/,http://www.boxofficemojo.com/movies/?id=cellular.htm
2004,88,Johnson Family Vacation,http://www.imdb.com/title/tt0359517/,http://www.boxofficemojo.com/movies/?id=johnsonfamilyvacation.htm
2004,89,Open Water,http://www.imdb.com/title/tt0374102/,http://www.boxofficemojo.com/movies/?id=openwater.htm
2004,90,Confessions of a Teenage Drama Queen,http://www.imdb.com/title/tt0361467/,http://www.boxofficemojo.com/movies/?id=confessionsofateenagedramaqueen.htm
2004,91,After the Sunset,http://www.imdb.com/title/tt0367479/,http://www.boxofficemojo.com/movies/?id=afterthesunset.htm
2004,92,The Prince and Me,http://www.imdb.com/title/tt0337697/,http://www.boxofficemojo.com/movies/?id=princeandme.htm
2004,93,Garden State,http://www.imdb.com/title/tt0333766/,http://www.boxofficemojo.com/movies/?id=gardenstate.htm
2004,94,Jersey Girl,http://www.imdb.com/title/tt0300051/,http://www.boxofficemojo.com/movies/?id=jerseygirl.htm
2004,95,Twisted,http://www.imdb.com/title/tt0315297/,http://www.boxofficemojo.com/movies/?id=twisted.htm
2004,96,The Life Aquatic with Steve Zissou,http://www.imdb.com/title/tt0362270/,http://www.boxofficemojo.com/movies/?id=lifeaquatic.htm
2004,97,Around the World in 80 Days,http://www.imdb.com/title/tt0327437/,http://www.boxofficemojo.com/movies/?id=aroundtheworldin80days.htm
2004,98,Agent Cody Banks 2: Destination London,http://www.imdb.com/title/tt0358349/,http://www.boxofficemojo.com/movies/?id=agentcodybanks2.htm
2004,99,Hotel Rwanda,http://www.imdb.com/title/tt0395169/,http://www.boxofficemojo.com/movies/?id=hotelrwanda.htm
2004,100,Ella Enchanted,http://www.imdb.com/title/tt0327679/,http://www.boxofficemojo.com/movies/?id=ellaenchanted.htm
2004,101,The Alamo (2004),http://www.imdb.com/title/tt0318974/,http://www.boxofficemojo.com/movies/?id=alamo.htm
2004,102,Darkness,http://www.imdb.com/title/tt0273517/,http://www.boxofficemojo.com/movies/?id=darkness.htm
2004,103,Mr. 3000,http://www.imdb.com/title/tt0339412/,http://www.boxofficemojo.com/movies/?id=mr3000.htm
2004,104,NASCAR 3D: The IMAX Experience (IMAX),http://www.imdb.com/title/tt0353774/,http://www.boxofficemojo.com/movies/?id=nascar3dimax.htm
2004,105,Torque,http://www.imdb.com/title/tt0329691/,http://www.boxofficemojo.com/movies/?id=torque.htm
2004,106,Flight of the Phoenix,http://www.imdb.com/title/tt0377062/,http://www.boxofficemojo.com/movies/?id=flightofthephoenix.htm
2004,107,Little Black Book,http://www.imdb.com/title/tt0361841/,http://www.boxofficemojo.com/movies/?id=littleblackbook.htm
2004,108,Yu-Gi-Oh! The Movie,http://www.imdb.com/title/tt0403703/,http://www.boxofficemojo.com/movies/?id=yugioh.htm
2004,109,Two Brothers,http://www.imdb.com/title/tt0338512/,http://www.boxofficemojo.com/movies/?id=twobrothers.htm
2004,110,Harold and Kumar Go to White Castle,http://www.imdb.com/title/tt0366551/,http://www.boxofficemojo.com/movies/?id=haroldandkumar.htm
2004,111,Laws of Attraction,http://www.imdb.com/title/tt0323033/,http://www.boxofficemojo.com/movies/?id=lawsofattraction.htm
2004,112,Eurotrip,http://www.imdb.com/title/tt0356150/,http://www.boxofficemojo.com/movies/?id=eurotrip.htm
2004,113,My Baby's Daddy,http://www.imdb.com/title/tt0332712/,http://www.boxofficemojo.com/movies/?id=mybabysdaddy.htm
2004,114,Seed of Chucky,http://www.imdb.com/title/tt0387575/,http://www.boxofficemojo.com/movies/?id=seedofchucky.htm
2004,115,Win a Date with Tad Hamilton!,http://www.imdb.com/title/tt0335559/,http://www.boxofficemojo.com/movies/?id=winadatewithtadhamilton.htm
2004,116,Wimbledon,http://www.imdb.com/title/tt0360201/,http://www.boxofficemojo.com/movies/?id=wimbledon.htm
2004,117,The Motorcycle Diaries,http://www.imdb.com/title/tt0318462/,http://www.boxofficemojo.com/movies/?id=motorcyclediaries.htm
2004,118,Catch That Kid,http://www.imdb.com/title/tt0337917/,http://www.boxofficemojo.com/movies/?id=catchthatkid.htm
2004,119,The Whole Ten Yards,http://www.imdb.com/title/tt0327247/,http://www.boxofficemojo.com/movies/?id=wholetenyards.htm
2004,120,Vanity Fair,http://www.imdb.com/title/tt0241025/,http://www.boxofficemojo.com/movies/?id=vanityfair.htm
2004,121,Paparazzi,http://www.imdb.com/title/tt0338325/,http://www.boxofficemojo.com/movies/?id=paparazzi.htm
2004,122,The Girl Next Door,http://www.imdb.com/title/tt0265208/,http://www.boxofficemojo.com/movies/?id=girlnextdoor.htm
2004,123,Welcome to Mooseport,http://www.imdb.com/title/tt0361925/,http://www.boxofficemojo.com/movies/?id=welcometomooseport.htm
2004,124,Godsend,http://www.imdb.com/title/tt0335121/,http://www.boxofficemojo.com/movies/?id=godsend.htm
2004,125,Soul Plane,http://www.imdb.com/title/tt0367085/,http://www.boxofficemojo.com/movies/?id=soulplane.htm
2004,126,Dirty Dancing: Havana Nights,http://www.imdb.com/title/tt0338096/,http://www.boxofficemojo.com/movies/?id=dirtydancing2.htm
2004,127,New York Minute,http://www.imdb.com/title/tt0363282/,http://www.boxofficemojo.com/movies/?id=newyorkminute.htm
2004,128,Envy,http://www.imdb.com/title/tt0326856/,http://www.boxofficemojo.com/movies/?id=envy.htm
2004,129,Shaun of the Dead,http://www.imdb.com/title/tt0365748/,http://www.boxofficemojo.com/movies/?id=shaunofthedead.htm
2004,130,De-Lovely,http://www.imdb.com/title/tt0352277/,http://www.boxofficemojo.com/movies/?id=delovely.htm
2004,131,Alfie,http://www.imdb.com/title/tt0375173/,http://www.boxofficemojo.com/movies/?id=alfie.htm
2004,132,Wicker Park,http://www.imdb.com/title/tt0324554/,http://www.boxofficemojo.com/movies/?id=wickerpark.htm
2004,133,I Heart Huckabees,http://www.imdb.com/title/tt0356721/,http://www.boxofficemojo.com/movies/?id=ihearthuckabees.htm
2004,134,Breakin' All the Rules,http://www.imdb.com/title/tt0349169/,http://www.boxofficemojo.com/movies/?id=breakinalltherules.htm
2004,135,Chasing Liberty,http://www.imdb.com/title/tt0360139/,http://www.boxofficemojo.com/movies/?id=chasingliberty.htm
2004,136,The Cookout,http://www.imdb.com/title/tt0380277/,http://www.boxofficemojo.com/movies/?id=cookout.htm
2004,137,Surviving Christmas,http://www.imdb.com/title/tt0252028/,http://www.boxofficemojo.com/movies/?id=survivingchristmas.htm
2004,138,Super Size Me,http://www.imdb.com/title/tt0390521/,http://www.boxofficemojo.com/movies/?id=supersizeme.htm
2004,139,House of Flying Daggers,http://www.imdb.com/title/tt0385004/,http://www.boxofficemojo.com/movies/?id=houseofflyingdaggers.htm
2004,140,What the #$*! Do We Know?!,http://www.imdb.com/title/tt0399877/,http://www.boxofficemojo.com/movies/?id=whatthe.htm
2004,141,Raise Your Voice,http://www.imdb.com/title/tt0361696/,http://www.boxofficemojo.com/movies/?id=raiseyourvoice.htm
2004,142,The Perfect Score,http://www.imdb.com/title/tt0314498/,http://www.boxofficemojo.com/movies/?id=perfectscore.htm
2004,143,Kinsey,http://www.imdb.com/title/tt0362269/,http://www.boxofficemojo.com/movies/?id=kinsey.htm
2004,144,Sleepover,http://www.imdb.com/title/tt0368975/,http://www.boxofficemojo.com/movies/?id=sleepover.htm
2004,145,Super Babies: Baby Geniuses 2,http://www.imdb.com/title/tt0270846/,http://www.boxofficemojo.com/movies/?id=babygeniuses2.htm
2004,146,First Daughter,http://www.imdb.com/title/tt0361620/,http://www.boxofficemojo.com/movies/?id=firstdaughter.htm
2004,147,Saved!,http://www.imdb.com/title/tt0332375/,http://www.boxofficemojo.com/movies/?id=saved.htm
2004,148,Suspect Zero,http://www.imdb.com/title/tt0324127/,http://www.boxofficemojo.com/movies/?id=suspectzero.htm
2004,149,Connie and Carla,http://www.imdb.com/title/tt0345074/,http://www.boxofficemojo.com/movies/?id=connieandcarla.htm
2004,150,Being Julia,http://www.imdb.com/title/tt0340012/,http://www.boxofficemojo.com/movies/?id=beingjulia.htm
2004,151,Thunderbirds,http://www.imdb.com/title/tt0167456/,http://www.boxofficemojo.com/movies/?id=thunderbirds.htm
2004,152,"Woman, Thou Art Loosed",http://www.imdb.com/title/tt0399901/,http://www.boxofficemojo.com/movies/?id=womanthouartloosed.htm
2004,153,Maria Full of Grace,http://www.imdb.com/title/tt0390221/,http://www.boxofficemojo.com/movies/?id=mariafullofgrace.htm
2004,154,A Very Long Engagement,http://www.imdb.com/title/tt0344510/,http://www.boxofficemojo.com/movies/?id=verylongengagement.htm
2004,155,Teacher's Pet,http://www.imdb.com/title/tt0350194/,http://www.boxofficemojo.com/movies/?id=teacherspet.htm
2004,156,The Big Bounce,http://www.imdb.com/title/tt0315824/,http://www.boxofficemojo.com/movies/?id=bigbounce.htm
2004,157,Beyond the Sea,http://www.imdb.com/title/tt0363473/,http://www.boxofficemojo.com/movies/?id=beyondthesea.htm
2004,158,Against the Ropes,http://www.imdb.com/title/tt0312329/,http://www.boxofficemojo.com/movies/?id=againsttheropes.htm
2004,159,Before Sunset,http://www.imdb.com/title/tt0381681/,http://www.boxofficemojo.com/movies/?id=beforesunset.htm
2004,160,The Clearing,http://www.imdb.com/title/tt0331952/,http://www.boxofficemojo.com/movies/?id=clearing.htm
2004,161,Never Die Alone,http://www.imdb.com/title/tt0354766/,http://www.boxofficemojo.com/movies/?id=neverdiealone.htm
2004,162,Bad Education,http://www.imdb.com/title/tt0275491/,http://www.boxofficemojo.com/movies/?id=badeducation.htm
2004,163,Birth,http://www.imdb.com/title/tt0337876/,http://www.boxofficemojo.com/movies/?id=birth.htm
2004,164,Club Dread,http://www.imdb.com/title/tt0331953/,http://www.boxofficemojo.com/movies/?id=clubdread.htm
2004,165,Touching the Void,http://www.imdb.com/title/tt0379557/,http://www.boxofficemojo.com/movies/?id=touchingthevoid.htm
2004,166,Spartan,http://www.imdb.com/title/tt0360009/,http://www.boxofficemojo.com/movies/?id=spartan.htm
