photoimage,actorname,actorimdb,dateofbirth,placeofbirth,minibio,trivia,race,gender,Domestic
,Chris Noonan,http://www.imdb.com/name/nm0003088/,,,,,,,0
,Chris Renaud,http://www.imdb.com/name/nm0719208/,,,,,,,1
,Chris Robinson,http://www.imdb.com/name/nm1309090/,,,,,,,1
,Chris Rock,http://www.imdb.com/name/nm0001674/,,,,,,,1
,Chris Sanders,http://www.imdb.com/name/nm0761498/,,,,,,,1
,Chris Sivertson,http://www.imdb.com/name/nm1032754/,,,,,,,1
,Chris Stokes,http://www.imdb.com/name/nm0831321/,,,,,,,1
,Chris Wedge,http://www.imdb.com/name/nm0917188/,,,,,,,1
,Chris Weitz,http://www.imdb.com/name/nm0919363/,,,,,,,1
,Chris Williams,http://www.imdb.com/name/nm0930261/,,,,,,,1
,Christian Alvart,http://www.imdb.com/name/nm0023355/,,,,,,,1
,Christian E. Christiansen,http://www.imdb.com/name/nm0160157/,,,,,,,1
,Christian Fry,http://www.imdb.com/name/nm1905588/,,,,,,,1
,Christian Keller,http://www.imdb.com/name/nm2400342/,,,,,,,0
,Christian Petzold,http://www.imdb.com/name/nm0678857/,,,,,,,0
,Christine Jeffs,http://www.imdb.com/name/nm0420422/,,,,,,,1
,Christophe Barratier,http://www.imdb.com/name/nm0056725/,,,,,,,0
,Christophe Gans,http://www.imdb.com/name/nm0304521/,,,,,,,0
,Christopher Doyle,http://www.imdb.com/name/nm0236313/,,,,,,,0
,Christopher Erskin,http://www.imdb.com/name/nm1348558/,,,,,,,1
,Christopher Guest,http://www.imdb.com/name/nm0001302/,,,,,,,1
,Christopher Landon,http://www.imdb.com/name/nm0484907/,,,,,,,1
,Christopher McQuarrie,http://www.imdb.com/name/nm0003160/,,,,,,,1
,Christopher Miller,http://www.imdb.com/name/nm0588087/,,,,,,,1
,Christopher Nolan,http://www.imdb.com/name/nm0634240/,,,,,,,1
,Christopher Reeve,http://www.imdb.com/name/nm0001659/,,,,,,,1
,Christopher Scott Cherot,http://www.imdb.com/name/nm0156017/,,,,,,,1
,Christopher Spencer,http://www.imdb.com/name/nm0817895/,,,,,,,1
,Ciar¨¢n Foy,http://www.imdb.com/name/nm1164602/,,,,,,,1
,Cindy Meehl,http://www.imdb.com/name/nm4137350/,,,,,,,1
,Clare Kilner,http://www.imdb.com/name/nm0453270/,,,,,,,1
,Clark Gregg,http://www.imdb.com/name/nm0163988/,,,,,,,1
,Clark Johnson,http://www.imdb.com/name/nm0424800/,,,,,,,1
,Claude Desrosiers,http://www.imdb.com/name/nm1068982/,,,,,,,0
,Clint Eastwood,http://www.imdb.com/name/nm0000142/,,,,,,,1
,Cody Cameron,http://www.imdb.com/name/nm0970606/,,,,,,,1
,Colin Brady,http://www.imdb.com/name/nm0103595/,,,,,,,1
,Colin Strause,http://www.imdb.com/name/nm0833779/,,,,,,,1
,Colin Trevorrow,http://www.imdb.com/name/nm1119880/,,,,,,,1
,Conrad Vernon,http://www.imdb.com/name/nm0970447/,,,,,,,1
,Cory Edwards,http://www.imdb.com/name/nm0249897/,,,,,,,1
,Courtney Hunt,http://www.imdb.com/name/nm2581581/,,,,,,,1
,Courtney Solomon,http://www.imdb.com/name/nm0813309/,,,,,,,1
,Craig Brewer,http://www.imdb.com/name/nm0108132/,,,,,,,1
,Craig Gillespie,http://www.imdb.com/name/nm0318916/,,,,,,,1
,Craig Johnson,http://www.imdb.com/name/nm2574897/,,,,,,,1
,Craig Mazin,http://www.imdb.com/name/nm0563301/,,,,,,,1
,Curtis Hanson,http://www.imdb.com/name/nm0000436/,,,,,,,1
,C¨¦dric Klapisch,http://www.imdb.com/name/nm0458251/,,,,,,,0
,D.J. Caruso,http://www.imdb.com/name/nm0142286/,,,,,,,1
,Damien Chazelle,http://www.imdb.com/name/nm3227090/,,,,,,,1
,Damien Dante Wayans,http://www.imdb.com/name/nm1349040/,,,,,,,1
,Dami¨¢n Szifr¨®n,http://www.imdb.com/name/nm1167933/,,,,,,,0
,Damon Dash,http://www.imdb.com/name/nm0201965/,,,,,,,1
,Dan Bradley,http://www.imdb.com/name/nm0103187/,,,,,,,1
,Dan Cutforth,http://www.imdb.com/name/nm0193838/,,,,,,,1
