,year,imdbcrewcastlink,imdbfilmtitle,imdbfilmlink,bomtitle,bomlink,descriptor1,descriptor2,descriptor3,NumOwnFilms(past five years),NumOfTwoCommonCategoriesOwnFilms(past five years),NumFeatureMovies(past five years),NumCommonFeatureMovies(past five years)
1889,2010,http://www.imdb.com/name/nm1349318/,Housefull,http://www.imdb.com/title/tt1573072/,Housefull,http://www.boxofficemojo.com/movies/?id=housefull.htm,comedy,,,3,0,29769.0,
1890,2011,http://www.imdb.com/name/nm0000165/,The Dilemma,http://www.imdb.com/title/tt1578275/,The Dilemma,http://www.boxofficemojo.com/movies/?id=howardvaughnjames.htm,comedy,drama,,5,1,32639.0,2499.0
1891,2012,http://www.imdb.com/name/nm2341611/,Chasing Ice,http://www.imdb.com/title/tt1579361/,Chasing Ice,http://www.boxofficemojo.com/movies/?id=chasingice.htm,documentary,biography,,1,1,35774.0,0.0
1892,2012,http://www.imdb.com/name/nm0867127/,House at the End of the Street,http://www.imdb.com/title/tt1582507/,House at the End of The Street,http://www.boxofficemojo.com/movies/?id=houseattheendofthestreet.htm,drama,horror,thriller,2,2,35774.0,366.0
1893,2011,http://www.imdb.com/name/nm0000158/,Larry Crowne,http://www.imdb.com/title/tt1583420/,Larry Crowne,http://www.boxofficemojo.com/movies/?id=larrycrowne.htm,comedy,drama,romance,1,1,32639.0,2499.0
1894,2013,http://www.imdb.com/name/nm0160840/,G.I. Joe: Retaliation,http://www.imdb.com/title/tt1583421/,G.I. Joe: Retaliation,http://www.boxofficemojo.com/movies/?id=gijoe2.htm,action,adventure,sci-fi,8,4,38747.0,535.0
1895,2010,http://www.imdb.com/name/nm1413364/,Catfish,http://www.imdb.com/title/tt1584016/,Catfish,http://www.boxofficemojo.com/movies/?id=catfish.htm,documentary,drama,mystery,7,1,29769.0,0.0
1896,2010,http://www.imdb.com/name/nm1160962/,Catfish,http://www.imdb.com/title/tt1584016/,Catfish,http://www.boxofficemojo.com/movies/?id=catfish.htm,documentary,drama,mystery,2,1,29769.0,0.0
1897,2012,http://www.imdb.com/name/nm0428600/,What to Expect When You're Expecting,http://www.imdb.com/title/tt1586265/,What to Expect When You're Expecting,http://www.boxofficemojo.com/movies/?id=whattoexpect.htm,comedy,drama,romance,2,1,35774.0,2741.0
1898,2014,http://www.imdb.com/name/nm0834902/,Maleficent,http://www.imdb.com/title/tt1587310/,Maleficent,http://www.boxofficemojo.com/movies/?id=maleficient.htm,action,adventure,family,1,1,41257.0,568.0
