year,bomtitle,imdblink,descriptor1,descriptor2,descriptor3
2004,Super Size Me,http://www.imdb.com/title/tt0390521/,documentary,comedy,drama
2004,House of Flying Daggers,http://www.imdb.com/title/tt0385004/,action,adventure,drama
2004,What the #$*! Do We Know?!,http://www.imdb.com/title/tt0399877/,documentary,comedy,drama
2004,Raise Your Voice,http://www.imdb.com/title/tt0361696/,family,music,musical
2004,The Perfect Score,http://www.imdb.com/title/tt0314498/,comedy,crime,
2004,Kinsey,http://www.imdb.com/title/tt0362269/,biography,drama,romance
2004,Sleepover,http://www.imdb.com/title/tt0368975/,comedy,family,romance
2004,Super Babies: Baby Geniuses 2,http://www.imdb.com/title/tt0270846/,comedy,family,sci-fi
2004,First Daughter,http://www.imdb.com/title/tt0361620/,comedy,drama,romance
2004,Saved!,http://www.imdb.com/title/tt0332375/,comedy,drama,
2004,Suspect Zero,http://www.imdb.com/title/tt0324127/,crime,horror,mystery
2004,Connie and Carla,http://www.imdb.com/title/tt0345074/,comedy,crime,music
2004,Being Julia,http://www.imdb.com/title/tt0340012/,comedy,drama,romance
2004,Thunderbirds,http://www.imdb.com/title/tt0167456/,action,adventure,comedy
2004,"Woman, Thou Art Loosed",http://www.imdb.com/title/tt0399901/,drama,,
2004,Maria Full of Grace,http://www.imdb.com/title/tt0390221/,crime,drama,
2004,A Very Long Engagement,http://www.imdb.com/title/tt0344510/,drama,mystery,romance
2004,Teacher's Pet,http://www.imdb.com/title/tt0350194/,animation,adventure,comedy
2004,The Big Bounce,http://www.imdb.com/title/tt0315824/,comedy,crime,
2004,Beyond the Sea,http://www.imdb.com/title/tt0363473/,biography,drama,music
2004,Against the Ropes,http://www.imdb.com/title/tt0312329/,biography,drama,romance
2004,Before Sunset,http://www.imdb.com/title/tt0381681/,drama,romance,
2004,The Clearing,http://www.imdb.com/title/tt0331952/,drama,mystery,thriller
2004,Never Die Alone,http://www.imdb.com/title/tt0354766/,action,crime,drama
2004,Bad Education,http://www.imdb.com/title/tt0275491/,crime,drama,
2004,Birth,http://www.imdb.com/title/tt0337876/,drama,fantasy,mystery
2004,Club Dread,http://www.imdb.com/title/tt0331953/,comedy,horror,mystery
2004,Touching the Void,http://www.imdb.com/title/tt0379557/,documentary,adventure,drama
2004,Spartan,http://www.imdb.com/title/tt0360009/,action,crime,drama
2004,A Day Without a Mexican,http://www.imdb.com/title/tt0377744/,comedy,drama,fantasy
2004,"Good Bye, Lenin!",http://www.imdb.com/title/tt0301357/,comedy,drama,romance
2004,Camping Sauvage,http://www.imdb.com/title/tt0389831/,comedy,crime,
2004,The Door in the Floor,http://www.imdb.com/title/tt0348593/,comedy,drama,
2004,Benji Off the Leash,http://www.imdb.com/title/tt0315273/,drama,family,
2004,Vera Drake,http://www.imdb.com/title/tt0383694/,crime,drama,
2004,William Shakespeare's The Merchant of Venice,http://www.imdb.com/title/tt0379889/,drama,romance,
2004,Born Into Brothels,http://www.imdb.com/title/tt0388789/,documentary,biography,news
2004,The Work and the Glory,http://www.imdb.com/title/tt0410454/,romance,drama,
2004,Veer Zaara,http://www.imdb.com/title/tt0420332/,drama,family,musical
2004,Clifford's Really Big Movie,http://www.imdb.com/title/tt0398872/,animation,adventure,comedy
2004,Bobby Jones: Stroke of Genius,http://www.imdb.com/title/tt0375104/,biography,drama,romance
2004,Therese: The Story of Saint Therese of Lisieux,http://www.imdb.com/title/tt0286218/,biography,drama,
2004,Control Room,http://www.imdb.com/title/tt0391024/,documentary,,
2004,The Dreamers,http://www.imdb.com/title/tt0309987/,drama,romance,
2004,"Spring, Summer, Fall, Winter... and Spring",http://www.imdb.com/title/tt0374546/,drama,romance,
2004,Bon Voyage,http://www.imdb.com/title/tt0310778/,comedy,drama,mystery
2004,Riding Giants,http://www.imdb.com/title/tt0389326/,documentary,history,sport
2004,Dans une galaxie pres de chez vous,http://www.imdb.com/title/tt0385635/,adventure,comedy,sci-fi
2004,Coffee and Cigarettes,http://www.imdb.com/title/tt0379217/,comedy,drama,music
2004,Intimate Strangers,http://www.imdb.com/title/tt0363532/,drama,romance,thriller
2004,The Sea Inside,http://www.imdb.com/title/tt0369702/,biography,drama,
2004,Les Choristes (Quebec),http://www.imdb.com/title/tt0372824/,drama,music,
2004,We Don't Live Here Anymore,http://www.imdb.com/title/tt0361309/,drama,romance,
2004,Santa Vs. the Snowman - Season 3 (IMAX),http://www.imdb.com/title/tt0337714/,animation,short,comedy
2004,The Corporation,http://www.imdb.com/title/tt0379225/,documentary,history,
2004,Elles etaient cinq,http://www.imdb.com/title/tt0400400/,crime,drama,
2004,Elvis Gratton XXX,http://www.imdb.com/title/tt0380344/,comedy,music,
2004,The Story of the Weeping Camel,http://www.imdb.com/title/tt0373861/,drama,family,
2004,The Blue Butterfly,http://www.imdb.com/title/tt0313300/,drama,adventure,
2004,Main Hoon Na,http://www.imdb.com/title/tt0347473/,action,comedy,drama
2004,I'm Not Scared,http://www.imdb.com/title/tt0326977/,crime,drama,mystery
2004,The Corporation (Canada),http://www.imdb.com/title/tt0379225/,documentary,history,
2004,Nouvelle-France,http://www.imdb.com/title/tt0386669/,drama,history,romance
2005,Star Wars: Episode III - Revenge of the Sith,http://www.imdb.com/title/tt0121766/,action,adventure,fantasy
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",http://www.imdb.com/title/tt0363771/,adventure,family,fantasy
2005,Harry Potter and the Goblet of Fire,http://www.imdb.com/title/tt0330373/,adventure,family,fantasy
2005,War of the Worlds,http://www.imdb.com/title/tt0407304/,adventure,sci-fi,thriller
2005,King Kong,http://www.imdb.com/title/tt0360717/,action,adventure,drama
2005,Wedding Crashers,http://www.imdb.com/title/tt0396269/,comedy,romance,
2005,Charlie and the Chocolate Factory,http://www.imdb.com/title/tt0367594/,adventure,comedy,family
2005,Batman Begins,http://www.imdb.com/title/tt0372784/,action,adventure,fantasy
