bomtitle,bomlink,year,login_link,imdb_idList,imdb_genre_textList,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7
Coyote Ugly,https://www.boxofficemojo.com/release/rl1900905985/?ref_=bo_yld_table_36,2000,https://pro.imdb.com/title/tt0200550?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0200550,"['Comedy', 'Drama', 'Music', 'Romance']",Comedy,Drama,Music,Romance,,,,
Snow Day,https://www.boxofficemojo.com/release/rl57705985/?ref_=bo_yld_table_37,2000,https://pro.imdb.com/title/tt0184907?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0184907,"['Adventure', 'Comedy', 'Family']",Adventure,Comedy,Family,,,,,
Fantasia 2000,https://www.boxofficemojo.com/release/rl3830482433/?ref_=bo_yld_table_38,2000,https://pro.imdb.com/title/tt0120910?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0120910,"['Animation', 'Comedy', 'Family']",Animation,Comedy,Family,,,,,
American Beauty,https://www.boxofficemojo.com/release/rl2839774721/?ref_=bo_yld_table_39,2000,https://pro.imdb.com/title/tt0169547?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0169547,['Drama'],Drama,,,,,,,
Next Friday,https://www.boxofficemojo.com/release/rl845645313/?ref_=bo_yld_table_40,2000,https://pro.imdb.com/title/tt0195945?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0195945,['Comedy'],Comedy,,,,,,,
The Whole Nine Yards,https://www.boxofficemojo.com/release/rl2054915585/?ref_=bo_yld_table_41,2000,https://pro.imdb.com/title/tt0190138?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0190138,"['Comedy', 'Crime']",Comedy,Crime,,,,,,
Shanghai Noon,https://www.boxofficemojo.com/release/rl4050552321/?ref_=bo_yld_table_42,2000,https://pro.imdb.com/title/tt0184894?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0184894,"['Action', 'Adventure', 'Comedy']",Action,Adventure,Comedy,,,,,
Romeo Must Die,https://www.boxofficemojo.com/release/rl2674689537/?ref_=bo_yld_table_43,2000,https://pro.imdb.com/title/tt0165929?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0165929,"['Action', 'Crime', 'Thriller']",Action,Crime,Thriller,,,,,
102 Dalmatians,https://www.boxofficemojo.com/release/rl927041025/?ref_=bo_yld_table_44,2000,https://pro.imdb.com/title/tt0211181?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0211181,"['Adventure', 'Comedy', 'Family']",Adventure,Comedy,Family,,,,,
The Cider House Rules,https://www.boxofficemojo.com/release/rl2219542017/?ref_=bo_yld_table_45,2000,https://pro.imdb.com/title/tt0124315?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0124315,"['Drama', 'Romance']",Drama,Romance,,,,,,
Final Destination,https://www.boxofficemojo.com/release/rl3193144833/?ref_=bo_yld_table_46,2000,https://pro.imdb.com/title/tt0195714?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0195714,"['Horror', 'Thriller']",Horror,Thriller,,,,,,
The Talented Mr. Ripley,https://www.boxofficemojo.com/release/rl1433765377/?ref_=bo_yld_table_47,2000,https://pro.imdb.com/title/tt0134119?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0134119,"['Crime', 'Drama', 'Thriller']",Crime,Drama,Thriller,,,,,
Galaxy Quest,https://www.boxofficemojo.com/release/rl1347782145/?ref_=bo_yld_table_48,2000,https://pro.imdb.com/title/tt0177789?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0177789,"['Adventure', 'Comedy', 'Sci-Fi']",Adventure,Comedy,Sci-Fi,,,,,
The Road to El Dorado,https://www.boxofficemojo.com/release/rl1869383169/?ref_=bo_yld_table_49,2000,https://pro.imdb.com/title/tt0138749?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0138749,"['Adventure', 'Animation', 'Comedy']",Adventure,Animation,Comedy,,,,,
The Hurricane,https://www.boxofficemojo.com/release/rl3797452289/?ref_=bo_yld_table_50,2000,https://pro.imdb.com/title/tt0174856?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0174856,"['Biography', 'Drama', 'Sport']",Biography,Drama,Sport,,,,,
Vertical Limit,https://www.boxofficemojo.com/release/rl1702462977/?ref_=bo_yld_table_51,2000,https://pro.imdb.com/title/tt0190865?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0190865,"['Action', 'Adventure', 'Drama']",Action,Adventure,Drama,,,,,
Men of Honor,https://www.boxofficemojo.com/release/rl157451777/?ref_=bo_yld_table_52,2000,https://pro.imdb.com/title/tt0203019?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0203019,"['Biography', 'Drama']",Biography,Drama,,,,,,
Toy Story 2,https://www.boxofficemojo.com/release/rl1417119233/?ref_=bo_yld_table_53,2000,https://pro.imdb.com/title/tt0120363?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0120363,"['Adventure', 'Animation', 'Comedy']",Adventure,Animation,Comedy,,,,,
The Tigger Movie,https://www.boxofficemojo.com/release/rl2406778369/?ref_=bo_yld_table_54,2000,https://pro.imdb.com/title/tt0220099?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0220099,"['Animation', 'Comedy', 'Drama']",Animation,Comedy,Drama,,,,,
Frequency,https://www.boxofficemojo.com/release/rl3377628673/?ref_=bo_yld_table_55,2000,https://pro.imdb.com/title/tt0186151?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0186151,"['Crime', 'Drama', 'Mystery']",Crime,Drama,Mystery,,,,,
The Replacements,https://www.boxofficemojo.com/release/rl2624423425/?ref_=bo_yld_table_56,2000,https://pro.imdb.com/title/tt0191397?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0191397,"['Comedy', 'Sport']",Comedy,Sport,,,,,,
Pokémon the Movie 2000,https://www.boxofficemojo.com/release/rl443254273/?ref_=bo_yld_table_57,2000,https://pro.imdb.com/title/tt0210234?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0210234,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy']",Action,Adventure,Animation,Family,Fantasy,,,
Miss Congeniality,https://www.boxofficemojo.com/release/rl3848439297/?ref_=bo_yld_table_58,2000,https://pro.imdb.com/title/tt0212346?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0212346,"['Action', 'Comedy', 'Crime']",Action,Comedy,Crime,,,,,
Any Given Sunday,https://www.boxofficemojo.com/release/rl2135066113/?ref_=bo_yld_table_59,2000,https://pro.imdb.com/title/tt0146838?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0146838,"['Drama', 'Sport']",Drama,Sport,,,,,,
The Beach,https://www.boxofficemojo.com/release/rl1027900929/?ref_=bo_yld_table_60,2000,https://pro.imdb.com/title/tt0163978?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0163978,"['Adventure', 'Drama', 'Romance']",Adventure,Drama,Romance,,,,,
The Exorcist,https://www.boxofficemojo.com/release/rl1364231681/?ref_=bo_yld_table_61,2000,https://pro.imdb.com/title/tt0070047?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0070047,['Horror'],Horror,,,,,,,
Pitch Black,https://www.boxofficemojo.com/release/rl3915941377/?ref_=bo_yld_table_62,2000,https://pro.imdb.com/title/tt0134847?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0134847,"['Horror', 'Sci-Fi']",Horror,Sci-Fi,,,,,,
The Emperor's New Groove,https://www.boxofficemojo.com/release/rl2572256769/?ref_=bo_yld_table_63,2000,https://pro.imdb.com/title/tt0120917?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0120917,"['Adventure', 'Animation', 'Comedy']",Adventure,Animation,Comedy,,,,,
The Family Man,https://www.boxofficemojo.com/release/rl4132472321/?ref_=bo_yld_table_64,2000,https://pro.imdb.com/title/tt0218967?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0218967,"['Comedy', 'Drama', 'Fantasy', 'Romance']",Comedy,Drama,Fantasy,Romance,,,,
Little Nicky,https://www.boxofficemojo.com/release/rl694257153/?ref_=bo_yld_table_65,2000,https://pro.imdb.com/title/tt0185431?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0185431,"['Comedy', 'Fantasy']",Comedy,Fantasy,,,,,,
The Original Kings of Comedy,https://www.boxofficemojo.com/release/rl1768326657/?ref_=bo_yld_table_66,2000,https://pro.imdb.com/title/tt0236388?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0236388,"['Comedy', 'Documentary']",Comedy,Documentary,,,,,,
Autumn in New York,https://www.boxofficemojo.com/release/rl826639873/?ref_=bo_yld_table_67,2000,https://pro.imdb.com/title/tt0174480?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0174480,"['Drama', 'Romance']",Drama,Romance,,,,,,
