year,bomrank,bomtitle,imdblink,bomlink,imdb_genre_text,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,Genre_8,Genre_9,Genre_10
2006,137,Hollywoodland,http://www.imdb.com/title/tt0427969/,http://www.boxofficemojo.com/movies/?id=hollywoodland.htm,"['Biography', 'Crime', 'Drama', ' Biography', ' Crime', ' Drama', ' History', ' Mystery', ' Romance', ' Thriller']",Biography,Crime,Drama, Biography, Crime, Drama, History, Mystery, Romance, Thriller,
2006,138,Letters from Iwo Jima,http://www.imdb.com/title/tt0498380/,http://www.boxofficemojo.com/movies/?id=lettersfromiwojima.htm,"['Action', 'Adventure', 'Drama', ' Action', ' Adventure', ' Drama', ' History', ' War']",Action,Adventure,Drama, Action, Adventure, Drama, History, War,,,
2006,139,One Night with the King,http://www.imdb.com/title/tt0430431/,http://www.boxofficemojo.com/movies/?id=onenightwiththeking.htm,"['Biography', 'Drama', 'History', ' Biography', ' Drama', ' History']",Biography,Drama,History, Biography, Drama, History,,,,,
2006,140,Friends with Money,http://www.imdb.com/title/tt0436331/,http://www.boxofficemojo.com/movies/?id=friendswithmoney.htm,"['Comedy', 'Drama', 'Romance', ' Comedy', ' Drama', ' Romance']",Comedy,Drama,Romance, Comedy, Drama, Romance,,,,,
2006,141,Flyboys,http://www.imdb.com/title/tt0454824/,http://www.boxofficemojo.com/movies/?id=flyboys.htm,"['Action', 'Drama', 'History', ' Action', ' Drama', ' History', ' Romance', ' War']",Action,Drama,History, Action, Drama, History, Romance, War,,,
2006,142,How to Eat Fried Worms,http://www.imdb.com/title/tt0462346/,http://www.boxofficemojo.com/movies/?id=howtoeatfriedworms.htm,"['Comedy', 'Family', ' Comedy', ' Family']",Comedy,Family, Comedy, Family,,,,,,,
2006,143,Volver,http://www.imdb.com/title/tt0441909/,http://www.boxofficemojo.com/movies/?id=volver.htm,"['Comedy', 'Drama', ' Comedy', ' Drama']",Comedy,Drama, Comedy, Drama,,,,,,,
2006,144,"Bon Cop, Bad Cop",http://www.imdb.com/title/tt0479647/,http://www.boxofficemojo.com/movies/?id=boncopbadcop.htm,"['Action', 'Comedy', 'Crime', ' Action', ' Comedy', ' Crime', ' Thriller']",Action,Comedy,Crime, Action, Comedy, Crime, Thriller,,,,
2006,145,Idlewild,http://www.imdb.com/title/tt0417225/,http://www.boxofficemojo.com/movies/?id=outkast.htm,"['Crime', 'Drama', 'Musical', ' Crime', ' Drama', ' Musical', ' Romance']",Crime,Drama,Musical, Crime, Drama, Musical, Romance,,,,
2006,146,Freedomland,http://www.imdb.com/title/tt0349467/,http://www.boxofficemojo.com/movies/?id=freedomland.htm,"['Crime', 'Drama', 'Mystery', ' Crime', ' Drama', ' Mystery', ' Thriller']",Crime,Drama,Mystery, Crime, Drama, Mystery, Thriller,,,,
