,bomfilmtitle,filmimdb,year,notsample,filmrank,castrank,filmrole,actorname,actorimdb,birthyear,gender,race,bomlink,starpower-actor,name_id,bomtitle,releasedate,prior10weeksDate
39,Agent Cody Banks 2: Destination London,http://www.imdb.com/title/tt0358349/,2004,0,11,5,Cast,Daniel Roebuck,http://www.imdb.com/name/nm0736263/,1963,m,white,http://www.boxofficemojo.com/movies/?id=agentcodybanks2.htm,3356,nm0736263,Agent Cody Banks 2: Destination London,3/12/2004,1/2/2004
40,Alexander,http://www.imdb.com/title/tt0346491/,2004,0,24,1,Cast,Colin Farrell,http://www.imdb.com/name/nm0268199/,1976,m,white,http://www.boxofficemojo.com/movies/?id=alexander.htm,89,nm0268199,Alexander,11/24/2004,9/15/2004
41,Alexander,http://www.imdb.com/title/tt0346491/,2004,0,8,2,Cast,Angelina Jolie Pitt,http://www.imdb.com/name/nm0001401/,1975,f,white,http://www.boxofficemojo.com/movies/?id=alexander.htm,8,nm0001401,Alexander,11/24/2004,9/15/2004
42,Alexander,http://www.imdb.com/title/tt0346491/,2004,0,9,3,Cast,Val Kilmer,http://www.imdb.com/name/nm0000174/,1959,m,white,http://www.boxofficemojo.com/movies/?id=alexander.htm,145,nm0000174,Alexander,11/24/2004,9/15/2004
43,Alexander,http://www.imdb.com/title/tt0346491/,2004,0,5,4,Cast,Anthony Hopkins,http://www.imdb.com/name/nm0000164/,1937,m,white,http://www.boxofficemojo.com/movies/?id=alexander.htm,331,nm0000164,Alexander,11/24/2004,9/15/2004
44,Alexander,http://www.imdb.com/title/tt0346491/,2004,0,25,5,Cast,Jared Leto,http://www.imdb.com/name/nm0001467/,1971,m,white,http://www.boxofficemojo.com/movies/?id=alexander.htm,291,nm0001467,Alexander,11/24/2004,9/15/2004
45,Alfie,http://www.imdb.com/title/tt0375173/,2004,0,6,1,Cast,Jude Law,http://www.imdb.com/name/nm0000179/,1972,m,white,http://www.boxofficemojo.com/movies/?id=alfie.htm,27,nm0000179,Alfie,11/5/2004,8/27/2004
46,Alfie,http://www.imdb.com/title/tt0375173/,2004,0,10,2,Cast,Marisa Tomei,http://www.imdb.com/name/nm0000673/,1964,f,white,http://www.boxofficemojo.com/movies/?id=alfie.htm,459,nm0000673,Alfie,11/5/2004,8/27/2004
47,Alfie,http://www.imdb.com/title/tt0375173/,2004,0,28,3,Cast,Susan Sarandon,http://www.imdb.com/name/nm0000215/,1946,f,white,http://www.boxofficemojo.com/movies/?id=alfie.htm,463,nm0000215,Alfie,11/5/2004,8/27/2004
48,Alfie,http://www.imdb.com/title/tt0375173/,2004,0,7,4,Cast,Renée Taylor,http://www.imdb.com/name/nm0853041/,1933,f,white,http://www.boxofficemojo.com/movies/?id=alfie.htm,2746,nm0853041,Alfie,11/5/2004,8/27/2004
49,Alfie,http://www.imdb.com/title/tt0375173/,2004,0,8,5,Cast,Jane Krakowski,http://www.imdb.com/name/nm0005105/,1968,f,white,http://www.boxofficemojo.com/movies/?id=alfie.htm,2091,nm0005105,Alfie,11/5/2004,8/27/2004
50,Alien Vs. Predator,http://www.imdb.com/title/tt0370263/,2004,0,10,1,Cast,Sanaa Lathan,http://www.imdb.com/name/nm0005125/,1971,f,black,http://www.boxofficemojo.com/movies/?id=avp.htm,729,nm0005125,Alien Vs. Predator,8/13/2004,6/4/2004
51,Alien Vs. Predator,http://www.imdb.com/title/tt0370263/,2004,0,11,2,Cast,Raoul Bova,http://www.imdb.com/name/nm0100556/,1971,m,white,http://www.boxofficemojo.com/movies/?id=avp.htm,1629,nm0100556,Alien Vs. Predator,8/13/2004,6/4/2004
52,Alien Vs. Predator,http://www.imdb.com/title/tt0370263/,2004,0,12,3,Cast,Lance Henriksen,http://www.imdb.com/name/nm0000448/,1940,m,white,http://www.boxofficemojo.com/movies/?id=avp.htm,1085,nm0000448,Alien Vs. Predator,8/13/2004,6/4/2004
53,Alien Vs. Predator,http://www.imdb.com/title/tt0370263/,2004,0,13,4,Cast,Ewen Bremner,http://www.imdb.com/name/nm0001971/,1972,m,white,http://www.boxofficemojo.com/movies/?id=avp.htm,1242,nm0001971,Alien Vs. Predator,8/13/2004,6/4/2004
54,Alien Vs. Predator,http://www.imdb.com/title/tt0370263/,2004,0,14,5,Cast,Colin Salmon,http://www.imdb.com/name/nm0758760/,1962,m,black,http://www.boxofficemojo.com/movies/?id=avp.htm,2589,nm0758760,Alien Vs. Predator,8/13/2004,6/4/2004
55,Along Came Polly,http://www.imdb.com/title/tt0343135/,2004,0,3,1,Cast,Ben Stiller,http://www.imdb.com/name/nm0001774/,1965,m,white,http://www.boxofficemojo.com/movies/?id=alongcamepolly.htm,246,nm0001774,Along Came Polly,1/16/2004,11/7/2003
56,Along Came Polly,http://www.imdb.com/title/tt0343135/,2004,0,4,2,Cast,Jennifer Aniston,http://www.imdb.com/name/nm0000098/,1969,f,white,http://www.boxofficemojo.com/movies/?id=alongcamepolly.htm,59,nm0000098,Along Came Polly,1/16/2004,11/7/2003
57,Along Came Polly,http://www.imdb.com/title/tt0343135/,2004,0,5,3,Cast,Philip Seymour Hoffman,http://www.imdb.com/name/nm0000450/,1967,m,white,http://www.boxofficemojo.com/movies/?id=alongcamepolly.htm,527,nm0000450,Along Came Polly,1/16/2004,11/7/2003
