,year,bomrank,bomtitle,bomlink,domesticgross,foreigngross,runtimemin,productionbudget,majordistributor,grated,rrated,unrated,remove,imdblink,studio,totalusgross,totaltheater,openingusgross,openingtheaters,foreigndm,languagecount,_merge2,qualityfilm,countaward,_merge3,genrespanning,_merge4,criticratings_avg,criticrating_var,user_avg,user_var,_merge5,imdbfilmtitle,avg_minority_gender,avg_minority_race,avg_minority,avg_minority_1,multidirector,releasedate,closedate,numberofcritics
1207,2009,157,Coco Before Chanel,http://www.boxofficemojo.com/movies/?id=cocobeforechanel.htm,6113834,44699100,110,23000000,1,0,0,0,,http://www.imdb.com/title/tt1035736/,SPC,6113834,307,406768,43,1,2,matched (3),1,35,matched (3),2,matched (3),65,120,6.6999998,2.5072,matched (3),Coco Before Chanel,,,,,0,"September 25, 2009","February 11, 2010",10
1208,2010,34,The Book of Eli,http://www.boxofficemojo.com/movies/?id=bookofeli.htm,94835059,62272696,118,80000000,1,0,1,0,,http://www.imdb.com/title/tt1037705/,WB,94835059,3111,32789494,3111,0,1,matched (3),0,31,matched (3),4,matched (3),53,299.10001,6.9000001,3.0095899,matched (3),The Book of Eli,0,1,1,1,1,"January 15, 2010","May 13, 2010",10
1209,2010,78,Legion (2010),http://www.boxofficemojo.com/movies/?id=legion10.htm,40168080,27750578,100,26000000,1,0,1,0,,http://www.imdb.com/title/tt1038686/,SGem,40168080,2476,17501625,2476,0,1,matched (3),,,master only (1),3,matched (3),32,269.79999,5.1999998,4.5233998,matched (3),Legion,0,0,0,0,1,"January 22, 2010","March 21, 2010",10
1210,2010,48,The Bounty Hunter,http://www.boxofficemojo.com/movies/?id=bountyhunter.htm,67061228,69272294,106,40000000,1,0,0,0,,http://www.imdb.com/title/tt1038919/,Sony,67061228,3118,20686423,3074,0,1,matched (3),0,9,matched (3),3,matched (3),22,464.10001,5.5999999,3.5999999,matched (3),The Bounty Hunter,0,0,0,0,0,"March 19, 2010","July 8, 2010",10
1211,2009,16,The Proposal,http://www.boxofficemojo.com/movies/?id=proposal.htm,163958031,153417000,108,40000000,1,0,0,0,,http://www.imdb.com/title/tt1041829/,BV,163958031,3158,33627598,3056,0,1,matched (3),1,33,matched (3),3,matched (3),48,430.70001,6.6999998,2.954,matched (3),The Proposal,1,0,1,0,0,"June 19, 2009","November 5, 2009",10
1212,2008,151,Cadillac Records,http://www.boxofficemojo.com/movies/?id=cadillacrecords.htm,8195551,684494,108,12000000,1,0,1,0,,http://www.imdb.com/title/tt1042877/,Sony,8195551,701,3445559,687,0,1,matched (3),1,36,matched (3),3,matched (3),65,530.20001,7,2.9820001,matched (3),Cadillac Records,1,0,1,0,0,"December 5, 2008","January 8, 2009",10
1213,2014,109,The Legend of Hercules,http://www.boxofficemojo.com/movies/?id=herculesbegins.htm,18848538,42430914,99,70000000,0,0,0,0,,http://www.imdb.com/title/tt1043726/,LG/S,18848538,2104,8868318,2104,0,1,matched (3),0,8,matched (3),3,matched (3),22,227.3,4.1999998,6.0502,matched (3),The Legend of Hercules,0,0,0,0,0,"January 10, 2014","March 13, 2014",10
1214,2008,131,The Haunting of Molly Hartley,http://www.boxofficemojo.com/movies/?id=hauntingofmollyhartley.htm,13559812,1858937,87,,0,0,0,0,,http://www.imdb.com/title/tt1045655/,Free,13559812,2652,5423315,2652,0,1,matched (3),,,master only (1),3,matched (3),28,253.39999,3.9000001,6.1020198,matched (3),The Haunting of Molly Hartley,0,0,0,0,0,"October 31, 2008","February 5, 2009",10
1215,2012,23,Silver Linings Playbook,http://www.boxofficemojo.com/movies/?id=silverliningsplaybook.htm,132092958,104319495,122,21000000,0,0,1,0,,http://www.imdb.com/title/tt1045658/,Wein.,132092958,2809,443003,16,0,1,matched (3),1,322,matched (3),3,matched (3),81,476.70001,7.6999998,2.3984001,matched (3),Silver Linings Playbook,0,0,0,0,0,"November 16, 2012","June 6, 2013",10
1216,2008,183,Happy-Go-Lucky,http://www.boxofficemojo.com/movies/?id=happygolucky.htm,3512016,15184586,118,,0,0,1,0,,http://www.imdb.com/title/tt1045670/,Mira.,3512016,202,73867,4,1,1,matched (3),1,98,matched (3),3,matched (3),84,96.300003,7,3.6210001,matched (3),Happy-Go-Lucky,,,,,0,"October 10, 2008","January 22, 2009",10
1217,2010,172,"I Love You, Phillip Morris",http://www.boxofficemojo.com/movies/?id=iloveyouphillipmorris.htm,2037459,18685384,100,13000000,0,0,1,0,,http://www.imdb.com/title/tt1045772/,RAtt.,2037459,100,112520,6,0,2,matched (3),1,20,matched (3),5,matched (3),65,387.5,6.5999999,3.64624,matched (3),I Love You Phillip Morris,0,0.5,0.5,0,1,"December 3, 2010","April 14, 2011",10
1218,2009,69,Year One,http://www.boxofficemojo.com/movies/?id=yearone.htm,43337279,19020621,100,60000000,1,0,0,0,,http://www.imdb.com/title/tt1045778/,Sony,43337279,3024,19610304,3022,0,1,matched (3),,,master only (1),2,matched (3),34,374.10001,4.9000001,4.72681,matched (3),Year One,0,0,0,0,0,"June 19, 2009","August 16, 2009",10
1219,2008,119,My Best Friend's Girl,http://www.boxofficemojo.com/movies/?id=mybestfriendsgirl.htm,19219250,22403252,101,20000000,0,0,1,0,,http://www.imdb.com/title/tt1046163/,LGF,19219250,2636,8265357,2604,0,1,matched (3),0,1,matched (3),2,matched (3),34,269.5,5.9000001,4.1436,matched (3),My Best Friend's Girl,0,0,0,0,0,"September 19, 2008","October 23, 2008",10
1220,2009,18,G.I. Joe: The Rise of Cobra,http://www.boxofficemojo.com/movies/?id=gijoe.htm,150201498,152267519,118,175000000,1,0,0,0,,http://www.imdb.com/title/tt1046173/,Par.,150201498,4007,54713046,4007,0,2,matched (3),0,27,matched (3),4,matched (3),32,535.20001,5.8000002,4.38276,matched (3),G.I. Joe: The Rise of Cobra,0,0,0,0,0,"August 7, 2009","November 5, 2009",10
1221,2008,127,Last Chance Harvey,http://www.boxofficemojo.com/movies/?id=lastchanceharvey.htm,14889042,17672279,99,,0,0,0,0,,http://www.imdb.com/title/tt1046947/,Over.,14889042,1108,97260,6,0,1,matched (3),1,5,matched (3),2,matched (3),57,159.5,6.6999998,2.4988,matched (3),Last Chance Harvey,0,0,0,0,0,"December 25, 2008","April 23, 2009",10
