,Unnamed: 0,year,bomrank,bomtitle,bomlink,domesticgross,foreigngross,runtimemin,productionbudget,majordistributor,grated,rrated,unrated,remove,imdblink,studio,totalusgross,totaltheater,openingusgross,openingtheaters,foreigndm,languagecount,_merge2,qualityfilm,countaward,_merge3,genrespanning,_merge4,criticratings_avg,criticrating_var,user_avg,user_var,_merge5,imdbfilmtitle,avg_minority_gender,avg_minority_race,avg_minority,avg_minority_1,multidirector,releasedate,closedate,numberofcritics,year_week_average_gross,year_week_average_totalmovies
334,334,2006,148,Zoom,http://www.boxofficemojo.com/movies/?id=zoom.htm,11989328,516860.0,83.0,,1,0,0,0,,http://www.imdb.com/title/tt0383060/,SonR,11989328,2501,4510408.0,2501.0,0.0,1.0,matched (3),0.0,17.0,matched (3),4.0,matched (3),26.0,112.6,4.3000002,7.1091099,matched (3),Zoom,0.0,0.0,0.0,0.0,0,2006-08-11,2006-09-17,10,160765568.0,94.333336
335,335,2006,26,The Pink Panther (2006),http://www.boxofficemojo.com/movies/?id=pinkpanther05.htm,82226474,76624883.0,92.0,80000000.0,1,0,0,0,,http://www.imdb.com/title/tt0383216/,Sony,82226474,3477,20220412.0,3477.0,0.0,2.0,matched (3),0.0,10.0,matched (3),5.0,matched (3),38.0,526.2000099999999,5.5999999,5.04636,matched (3),The Pink Panther,0.0,0.0,0.0,0.0,1,2006-02-10,2006-04-16,10,160765568.0,94.333336
336,336,2006,1,Pirates of the Caribbean: Dead Man's Chest,http://www.boxofficemojo.com/movies/?id=piratesofthecaribbean2.htm,423315812,642863913.0,151.0,225000000.0,1,0,0,0,,http://www.imdb.com/title/tt0383574/,BV,423315812,4133,135634554.0,4133.0,0.0,1.0,matched (3),1.0,205.0,matched (3),3.0,matched (3),53.0,165.2,7.3000002,2.78671,matched (3),Pirates of the Caribbean: Dead Man's Chest,0.0,0.0,0.0,0.0,0,2006-07-07,2006-12-07,10,160765568.0,94.333336
337,337,2004,172,Vera Drake,http://www.boxofficemojo.com/movies/?id=veradrake.htm,3775283,9492586.0,125.0,,0,0,1,0,,http://www.imdb.com/title/tt0383694/,FL,3775283,97,13207.0,2.0,1.0,2.0,matched (3),1.0,84.0,matched (3),2.0,matched (3),83.0,362.60001,7.6999998,2.4876001,matched (3),Vera Drake,,,,,0,2004-10-08,2005-03-31,10,160765568.0,94.333336
338,338,2005,147,Cry Wolf,http://www.boxofficemojo.com/movies/?id=crywolf.htm,10047674,5537821.0,90.0,1000000.0,0,0,0,0,,http://www.imdb.com/title/tt0384286/,Rog.,10047674,1789,4428209.0,1789.0,0.0,1.0,matched (3),,,master only (1),4.0,matched (3),39.0,568.0,5.9000001,4.6636,matched (3),Cry_Wolf,0.0,0.0,0.0,0.0,0,2005-09-16,2005-11-03,10,160765568.0,94.333336
339,339,2006,69,Silent Hill,http://www.boxofficemojo.com/movies/?id=silenthill.htm,46982632,50624821.0,120.0,50000000.0,1,0,1,0,,http://www.imdb.com/title/tt0384537/,Sony,46982632,2932,20152598.0,2926.0,1.0,3.0,matched (3),0.0,14.0,matched (3),3.0,matched (3),31.0,351.10001,6.599999900000001,4.21244,matched (3),Silent Hill - A halott város,,,,,0,2006-04-21,2006-06-18,10,160765568.0,94.333336
340,340,2005,52,Kicking and Screaming,http://www.boxofficemojo.com/movies/?id=kickingandscreaming.htm,52842724,3227709.0,96.0,45000000.0,1,0,0,0,,http://www.imdb.com/title/tt0384642/,Uni.,52842724,3470,20159925.0,3455.0,0.0,1.0,matched (3),1.0,7.0,matched (3),4.0,matched (3),45.0,493.29999000000004,5.5999999,3.74436,matched (3),Kicking & Screaming,0.0,0.0,0.0,0.0,0,2005-05-13,2005-08-04,10,160765568.0,94.333336
341,341,2005,138,The Weather Man,http://www.boxofficemojo.com/movies/?id=weatherman.htm,12482775,6556995.0,102.0,22000000.0,1,0,1,0,,http://www.imdb.com/title/tt0384680/,Par.,12482775,1510,4248465.0,1510.0,0.0,2.0,matched (3),,,master only (1),2.0,matched (3),61.0,200.8,6.599999900000001,3.1819999,matched (3),The Weather Man,0.0,0.0,0.0,0.0,0,2005-10-28,2005-12-20,10,160765568.0,94.333336
342,342,2005,194,The White Countess,http://www.boxofficemojo.com/movies/?id=whitecountess.htm,1669971,2422711.0,135.0,,1,0,0,0,,http://www.imdb.com/title/tt0384686/,SPC,1669971,67,46348.0,10.0,1.0,4.0,matched (3),0.0,5.0,matched (3),4.0,matched (3),60.0,194.3,6.6999998,3.3347099,matched (3),The White Countess,,,,,0,2005-12-21,2006-04-27,10,160765568.0,94.333336
343,343,2006,87,Accepted,http://www.boxofficemojo.com/movies/?id=accepted.htm,36323505,2181504.0,90.0,23000000.0,1,0,0,0,,http://www.imdb.com/title/tt0384793/,Uni.,36323505,2917,10023835.0,2914.0,0.0,1.0,matched (3),0.0,5.0,matched (3),1.0,matched (3),47.0,193.7,6.5,3.08375,matched (3),Accepted,0.0,0.0,0.0,0.0,0,2006-08-18,2006-10-19,10,160765568.0,94.333336
