,Columns are already created in the csv file at the rightest side,imdbcrewcastlink,year,imdbfilmtitle,role,imdbfilmlink,bomtitle,bomlink,starpower-director,name_id,releasedate,prior10weeksDate
1897,John Schultz,http://www.imdb.com/name/nm0776271/,2011,Judy Moody and the Not Bummer Summer,Director,http://www.imdb.com/title/tt1547230/,Judy Moody and the NOT Bummer Summer,http://www.boxofficemojo.com/movies/?id=judymoody.htm,31783,nm0776271,6/10/2011,4/1/2011
1898,David Koepp,http://www.imdb.com/name/nm0462895/,2012,Premium Rush,Director,http://www.imdb.com/title/tt1547234/,Premium Rush,http://www.boxofficemojo.com/movies/?id=premiumrush.htm,6718,nm0462895,8/24/2012,6/15/2012
1899,Jee-woon Kim,http://www.imdb.com/name/nm0453518/,2013,The Last Stand,Director,http://www.imdb.com/title/tt1549920/,The Last Stand,http://www.boxofficemojo.com/movies/?id=laststand.htm,2461,nm0453518,1/18/2013,11/9/2012
1900,Chris Weitz,http://www.imdb.com/name/nm0919363/,2011,A Better Life,Director,http://www.imdb.com/title/tt1554091/,A Better Life,http://www.boxofficemojo.com/movies/?id=abetterlife.htm,7015,nm0919363,6/24/2011,4/15/2011
1901,Shana Feste,http://www.imdb.com/name/nm0275277/,2010,Country Strong,Director,http://www.imdb.com/title/tt1555064/,Country Strong,http://www.boxofficemojo.com/movies/?id=countrystrong.htm,19075,nm0275277,12/22/2010,10/13/2010
1902,Richard LaGravenese,http://www.imdb.com/name/nm0481418/,2013,Beautiful Creatures,Director,http://www.imdb.com/title/tt1559547/,Beautiful Creatures (2013),http://www.boxofficemojo.com/movies/?id=beautifulcreatures13.htm,11858,nm0481418,2/14/2013,12/6/2012
1903,Tim Hetherington,http://www.imdb.com/name/nm1770672/,2010,Restrepo,Director,http://www.imdb.com/title/tt1559549/,Restrepo,http://www.boxofficemojo.com/movies/?id=restrepo.htm,125811,nm1770672,6/25/2010,4/16/2010
1904,Sebastian Junger,http://www.imdb.com/name/nm0432631/,2010,Restrepo,Director,http://www.imdb.com/title/tt1559549/,Restrepo,http://www.boxofficemojo.com/movies/?id=restrepo.htm,43983,nm0432631,6/25/2010,4/16/2010
1905,Paul Thomas Anderson,http://www.imdb.com/name/nm0000759/,2012,The Master,Director,http://www.imdb.com/title/tt1560747/,The Master,http://www.boxofficemojo.com/movies/?id=themaster.htm,974,nm0000759,9/14/2012,7/6/2012
1906,William Brent Bell,http://www.imdb.com/name/nm0068587/,2012,The Devil Inside,Director,http://www.imdb.com/title/tt1560985/,The Devil Inside,http://www.boxofficemojo.com/movies/?id=devilinside.htm,6932,nm0068587,1/6/2012,10/28/2011
