,Columns are already created in the csv file at the rightest side,imdbcrewcastlink,year,imdbfilmtitle,role,imdbfilmlink,bomtitle,bomlink,starpower-director,name_id,releasedate,prior10weeksDate
350,Roman Polanski,http://www.imdb.com/name/nm0000591/,2005,Oliver Twist,Director,http://www.imdb.com/title/tt0380599/,Oliver Twist,http://www.boxofficemojo.com/movies/?id=olivertwist.htm,813,nm0000591,9/23/2005,7/15/2005
351,Mark Rosman,http://www.imdb.com/name/nm0743093/,2005,The Perfect Man,Director,http://www.imdb.com/title/tt0380623/,The Perfect Man,http://www.boxofficemojo.com/movies/?id=perfectman.htm,17149,nm0743093,6/17/2005,4/8/2005
352,Martin Campbell,http://www.imdb.com/name/nm0132709/,2006,Casino Royale,Director,http://www.imdb.com/title/tt0381061/,Casino Royale,http://www.boxofficemojo.com/movies/?id=jamesbond21.htm,4228,nm0132709,11/17/2006,9/8/2006
353,Richard Linklater,http://www.imdb.com/name/nm0000500/,2004,Before Sunset,Director,http://www.imdb.com/title/tt0381681/,Before Sunset,http://www.boxofficemojo.com/movies/?id=beforesunset.htm,1317,nm0000500,7/2/2004,4/23/2004
354,Keenen Ivory Wayans,http://www.imdb.com/name/nm0005540/,2004,White Chicks,Director,http://www.imdb.com/title/tt0381707/,White Chicks,http://www.boxofficemojo.com/movies/?id=whitechicks.htm,609,nm0005540,6/23/2004,4/14/2004
355,James Mangold,http://www.imdb.com/name/nm0003506/,2007,3:10 to Yuma,Director,http://www.imdb.com/title/tt0381849/,3:10 to Yuma (2007),http://www.boxofficemojo.com/movies/?id=310toyuma.htm,5618,nm0003506,9/7/2007,6/29/2007
356,Matthew O'Callaghan,http://www.imdb.com/name/nm0639965/,2006,Curious George,Director,http://www.imdb.com/title/tt0381971/,Curious George,http://www.boxofficemojo.com/movies/?id=curiousgeorge.htm,23937,nm0639965,2/10/2006,12/2/2005
357,John Polson,http://www.imdb.com/name/nm0689852/,2005,Hide and Seek,Director,http://www.imdb.com/title/tt0382077/,Hide and Seek,http://www.boxofficemojo.com/movies/?id=hideandseek.htm,7486,nm0689852,1/28/2005,11/19/2004
358,Ron Howard,http://www.imdb.com/name/nm0000165/,2006,The Da Vinci Code,Director,http://www.imdb.com/title/tt0382625/,The Da Vinci Code,http://www.boxofficemojo.com/movies/?id=davincicode.htm,385,nm0000165,5/19/2006,3/10/2006
359,Walter Salles,http://www.imdb.com/name/nm0758574/,2005,Dark Water,Director,http://www.imdb.com/title/tt0382628/,Dark Water,http://www.boxofficemojo.com/movies/?id=darkwater.htm,3523,nm0758574,7/8/2005,4/29/2005
360,Jan Pinkava,http://www.imdb.com/name/nm0684342/,2007,Ratatouille,Director,http://www.imdb.com/title/tt0382932/,Ratatouille,http://www.boxofficemojo.com/movies/?id=ratatouille.htm,52687,nm0684342,6/29/2007,4/20/2007
361,Brad Bird,http://www.imdb.com/name/nm0083348/,2007,Ratatouille,Director,http://www.imdb.com/title/tt0382932/,Ratatouille,http://www.boxofficemojo.com/movies/?id=ratatouille.htm,4432,nm0083348,6/29/2007,4/20/2007
362,Rob Cohen,http://www.imdb.com/name/nm0003418/,2005,Stealth,Director,http://www.imdb.com/title/tt0382992/,Stealth,http://www.boxofficemojo.com/movies/?id=stealth.htm,3397,nm0003418,7/29/2005,5/20/2005
363,Peter Farrelly,http://www.imdb.com/name/nm0268380/,2012,The Three Stooges,Director,http://www.imdb.com/title/tt0383010/,The Three Stooges,http://www.boxofficemojo.com/movies/?id=threestooges.htm,9271,nm0268380,4/13/2012,2/3/2012
364,Bobby Farrelly,http://www.imdb.com/name/nm0268370/,2012,The Three Stooges,Director,http://www.imdb.com/title/tt0383010/,The Three Stooges,http://www.boxofficemojo.com/movies/?id=threestooges.htm,4826,nm0268370,4/13/2012,2/3/2012
365,Charlie Kaufman,http://www.imdb.com/name/nm0442109/,2008,"Synecdoche, New York",Director,http://www.imdb.com/title/tt0383028/,"Synecdoche, New York",http://www.boxofficemojo.com/movies/?id=synecdochenewyork.htm,2091,nm0442109,10/24/2008,8/15/2008
366,Peter Hewitt,http://www.imdb.com/name/nm0382072/,2006,Zoom,Director,http://www.imdb.com/title/tt0383060/,Zoom,http://www.boxofficemojo.com/movies/?id=zoom.htm,9594,nm0382072,8/11/2006,6/2/2006
367,Shawn Levy,http://www.imdb.com/name/nm0506613/,2006,The Pink Panther,Director,http://www.imdb.com/title/tt0383216/,The Pink Panther (2006),http://www.boxofficemojo.com/movies/?id=pinkpanther05.htm,6521,nm0506613,2/10/2006,12/2/2005
368,Gore Verbinski,http://www.imdb.com/name/nm0893659/,2006,Pirates of the Caribbean: Dead Man's Chest,Director,http://www.imdb.com/title/tt0383574/,Pirates of the Caribbean: Dead Man's Chest,http://www.boxofficemojo.com/movies/?id=piratesofthecaribbean2.htm,1995,nm0893659,7/7/2006,4/28/2006
369,Mike Leigh,http://www.imdb.com/name/nm0005139/,2004,Vera Drake,Director,http://www.imdb.com/title/tt0383694/,Vera Drake,http://www.boxofficemojo.com/movies/?id=veradrake.htm,4452,nm0005139,10/8/2004,7/30/2004
370,Jeff Wadlow,http://www.imdb.com/name/nm0905592/,2005,Cry_Wolf,Director,http://www.imdb.com/title/tt0384286/,Cry Wolf,http://www.boxofficemojo.com/movies/?id=crywolf.htm,12467,nm0905592,9/16/2005,7/8/2005
371,Christophe Gans,http://www.imdb.com/name/nm0304521/,2006,Silent Hill - A halott város,Director,http://www.imdb.com/title/tt0384537/,Silent Hill,http://www.boxofficemojo.com/movies/?id=silenthill.htm,2255,nm0304521,4/21/2006,2/10/2006
372,Jesse Dylan,http://www.imdb.com/name/nm0245888/,2005,Kicking & Screaming,Director,http://www.imdb.com/title/tt0384642/,Kicking and Screaming,http://www.boxofficemojo.com/movies/?id=kickingandscreaming.htm,9471,nm0245888,5/13/2005,3/4/2005
373,Gore Verbinski,http://www.imdb.com/name/nm0893659/,2005,The Weather Man,Director,http://www.imdb.com/title/tt0384680/,The Weather Man,http://www.boxofficemojo.com/movies/?id=weatherman.htm,2641,nm0893659,10/28/2005,8/19/2005
374,James Ivory,http://www.imdb.com/name/nm0412465/,2005,The White Countess,Director,http://www.imdb.com/title/tt0384686/,The White Countess,http://www.boxofficemojo.com/movies/?id=whitecountess.htm,7710,nm0412465,12/21/2005,10/12/2005
375,Steve Pink,http://www.imdb.com/name/nm0684336/,2006,Accepted,Director,http://www.imdb.com/title/tt0384793/,Accepted,http://www.boxofficemojo.com/movies/?id=accepted.htm,11979,nm0684336,8/18/2006,6/9/2006
376,Andrew Douglas,http://www.imdb.com/name/nm1497918/,2005,The Amityville Horror,Director,http://www.imdb.com/title/tt0384806/,The Amityville Horror (2005),http://www.boxofficemojo.com/movies/?id=amityvillehorror05.htm,14695,nm1497918,4/15/2005,2/4/2005
377,Yimou Zhang,http://www.imdb.com/name/nm0955443/,2004,House of Flying Daggers,Director,http://www.imdb.com/title/tt0385004/,House of Flying Daggers,http://www.boxofficemojo.com/movies/?id=houseofflyingdaggers.htm,1000,nm0955443,12/3/2004,9/24/2004
378,Paul Weitz,http://www.imdb.com/name/nm0919369/,2004,In Good Company,Director,http://www.imdb.com/title/tt0385267/,In Good Company,http://www.boxofficemojo.com/movies/?id=ingoodcompany.htm,5395,nm0919369,12/29/2004,10/20/2004
379,John Pasquin,http://www.imdb.com/name/nm0664756/,2005,Miss Congeniality 2: Armed and Fabulous,Director,http://www.imdb.com/title/tt0385307/,Miss Congeniality 2: Armed and Fabulous,http://www.boxofficemojo.com/movies/?id=misscongeniality2.htm,14554,nm0664756,3/24/2005,1/13/2005
380,Claude Desrosiers,http://www.imdb.com/name/nm1068982/,2004,Dans une galaxie près de chez vous - Le film,Director,http://www.imdb.com/title/tt0385635/,Dans une galaxie pres de chez vous,http://www.boxofficemojo.com/movies/?id=dansunegalaxiepresdechezvous.htm,148539,nm1068982,4/9/2004,1/30/2004
381,James Gartner,http://www.imdb.com/name/nm1595280/,2006,Glory Road,Director,http://www.imdb.com/title/tt0385726/,Glory Road,http://www.boxofficemojo.com/movies/?id=gloryroad.htm,16367,nm1595280,1/13/2006,11/4/2005
382,Chris Weitz,http://www.imdb.com/name/nm0919363/,2007,The Golden Compass,Director,http://www.imdb.com/title/tt0385752/,The Golden Compass,http://www.boxofficemojo.com/movies/?id=goldencompass.htm,5942,nm0919363,12/7/2007,9/28/2007
383,Gil Kenan,http://www.imdb.com/name/nm1481493/,2006,Monster House,Director,http://www.imdb.com/title/tt0385880/,Monster House,http://www.boxofficemojo.com/movies/?id=monsterhouse.htm,18166,nm1481493,7/21/2006,5/12/2006
384,Michael Moore,http://www.imdb.com/name/nm0601619/,2007,Sicko,Director,http://www.imdb.com/title/tt0386032/,Sicko,http://www.boxofficemojo.com/movies/?id=sicko.htm,2992,nm0601619,6/22/2007,4/13/2007
385,Spike Jonze,http://www.imdb.com/name/nm0005069/,2009,Max et les Maximonstres,Director,http://www.imdb.com/title/tt0386117/,Where the Wild Things Are,http://www.boxofficemojo.com/movies/?id=wherethewildthingsare.htm,1022,nm0005069,10/16/2009,8/7/2009
386,Martin Campbell,http://www.imdb.com/name/nm0132709/,2005,The Legend of Zorro,Director,http://www.imdb.com/title/tt0386140/,The Legend of Zorro,http://www.boxofficemojo.com/movies/?id=zorro2.htm,3133,nm0132709,10/28/2005,8/19/2005
387,Andy Tennant,http://www.imdb.com/name/nm0855035/,2005,Hitch,Director,http://www.imdb.com/title/tt0386588/,Hitch,http://www.boxofficemojo.com/movies/?id=hitch.htm,6119,nm0855035,2/11/2005,12/3/2004
388,Jean Beaudin,http://www.imdb.com/name/nm0064394/,2004,Battle of the Brave,Director,http://www.imdb.com/title/tt0386669/,Nouvelle-France,http://www.boxofficemojo.com/movies/?id=nouvellefrance.htm,43077,nm0064394,11/19/2004,9/10/2004
389,Fernando Meirelles,http://www.imdb.com/name/nm0576987/,2005,The Constant Gardener,Director,http://www.imdb.com/title/tt0387131/,The Constant Gardener,http://www.boxofficemojo.com/movies/?id=constantgardener.htm,4309,nm0576987,8/31/2005,6/22/2005
390,James Wan,http://www.imdb.com/name/nm1490123/,2004,Saw,Director,http://www.imdb.com/title/tt0387564/,Saw,http://www.boxofficemojo.com/movies/?id=saw.htm,4359,nm1490123,10/29/2004,8/20/2004
391,Don Mancini,http://www.imdb.com/name/nm0238841/,2004,Seed of Chucky,Director,http://www.imdb.com/title/tt0387575/,Seed of Chucky,http://www.boxofficemojo.com/movies/?id=seedofchucky.htm,6953,nm0238841,11/12/2004,9/3/2004
392,Brian De Palma,http://www.imdb.com/name/nm0000361/,2006,The Black Dahlia,Director,http://www.imdb.com/title/tt0387877/,The Black Dahlia,http://www.boxofficemojo.com/movies/?id=blackdahlia.htm,1965,nm0000361,9/15/2006,7/7/2006
393,Michael Haneke,http://www.imdb.com/name/nm0359734/,2005,Caché,Director,http://www.imdb.com/title/tt0387898/,Cache (Hidden),http://www.boxofficemojo.com/movies/?id=cache.htm,3706,nm0359734,12/23/2005,10/14/2005
394,Curtis Hanson,http://www.imdb.com/name/nm0000436/,2005,In Her Shoes,Director,http://www.imdb.com/title/tt0388125/,In Her Shoes,http://www.boxofficemojo.com/movies/?id=inhershoes.htm,3995,nm0000436,10/7/2005,7/29/2005
395,Jeffrey W. Byrd,http://www.imdb.com/name/nm0126032/,2005,King's Ransom,Director,http://www.imdb.com/title/tt0388183/,King's Ransom,http://www.boxofficemojo.com/movies/?id=kingsransom.htm,107716,nm0126032,4/22/2005,2/11/2005
396,Joe Roth,http://www.imdb.com/name/nm0005387/,2004,Christmas with the Kranks,Director,http://www.imdb.com/title/tt0388419/,Christmas with the Kranks,http://www.boxofficemojo.com/movies/?id=christmaswiththekranks.htm,11010,nm0005387,11/24/2004,9/15/2004
397,Louis Leterrier,http://www.imdb.com/name/nm0504642/,2005,Le transporteur II,Director,http://www.imdb.com/title/tt0388482/,Transporter 2,http://www.boxofficemojo.com/movies/?id=transporter2.htm,7687,nm0504642,9/2/2005,6/24/2005
398,Bille Woodruff,http://www.imdb.com/name/nm0937306/,2005,Beauty Shop,Director,http://www.imdb.com/title/tt0388500/,Beauty Shop,http://www.boxofficemojo.com/movies/?id=beautyshop.htm,11769,nm0937306,3/30/2005,1/19/2005
399,Ross Kauffman,http://www.imdb.com/name/nm1502104/,2004,Born Into Brothels: Calcutta's Red Light Kids,Director,http://www.imdb.com/title/tt0388789/,Born Into Brothels,http://www.boxofficemojo.com/movies/?id=bornintobrothels.htm,102942,nm1502104,12/8/2004,9/29/2004
400,Zana Briski,http://www.imdb.com/name/nm1498640/,2004,Born Into Brothels: Calcutta's Red Light Kids,Director,http://www.imdb.com/title/tt0388789/,Born Into Brothels,http://www.boxofficemojo.com/movies/?id=bornintobrothels.htm,77060,nm1498640,12/8/2004,9/29/2004
401,Ang Lee,http://www.imdb.com/name/nm0000487/,2005,Brokeback Mountain,Director,http://www.imdb.com/title/tt0388795/,Brokeback Mountain,http://www.boxofficemojo.com/movies/?id=brokebackmountain.htm,1368,nm0000487,12/9/2005,9/30/2005
402,Bill Paxton,http://www.imdb.com/name/nm0000200/,2005,The Greatest Game Ever Played,Director,http://www.imdb.com/title/tt0388980/,The Greatest Game Ever Played,http://www.boxofficemojo.com/movies/?id=greatestgameeverplayed.htm,701,nm0000200,9/30/2005,7/22/2005
403,Stacy Peralta,http://www.imdb.com/name/nm0672769/,2004,Riding Giants,Director,http://www.imdb.com/title/tt0389326/,Riding Giants,http://www.boxofficemojo.com/movies/?id=ridinggiants.htm,7166,nm0672769,7/9/2004,4/30/2004
404,Paul Verhoeven,http://www.imdb.com/name/nm0000682/,2006,Black Book,Director,http://www.imdb.com/title/tt0389557/,Black Book,http://www.boxofficemojo.com/movies/?id=blackbook.htm,1895,nm0000682,4/4/2007,1/24/2007
405,David Slade,http://www.imdb.com/name/nm1720541/,2007,30 Days of Night,Director,http://www.imdb.com/title/tt0389722/,30 Days of Night,http://www.boxofficemojo.com/movies/?id=30daysofnight.htm,7407,nm1720541,10/19/2007,8/10/2007
406,Simon J. Smith,http://www.imdb.com/name/nm0971239/,2007,Bee Movie,Director,http://www.imdb.com/title/tt0389790/,Bee Movie,http://www.boxofficemojo.com/movies/?id=beemovie.htm,58342,nm0971239,11/2/2007,8/24/2007
407,Sylvain Roy,http://www.imdb.com/name/nm1509943/,2004,Camping sauvage,Director,http://www.imdb.com/title/tt0389831/,Camping Sauvage,http://www.boxofficemojo.com/movies/?id=campingsauvage.htm,445194,nm1509943,7/9/2004,4/30/2004
408,André Ducharme,http://www.imdb.com/name/nm0239788/,2004,Camping sauvage,Director,http://www.imdb.com/title/tt0389831/,Camping Sauvage,http://www.boxofficemojo.com/movies/?id=campingsauvage.htm,102870,nm0239788,7/9/2004,4/30/2004
409,Guy A. Lepage,http://www.imdb.com/name/nm0503204/,2004,Camping sauvage,Director,http://www.imdb.com/title/tt0389831/,Camping Sauvage,http://www.boxofficemojo.com/movies/?id=campingsauvage.htm,77153,nm0503204,7/9/2004,4/30/2004
410,Frank Coraci,http://www.imdb.com/name/nm0178997/,2006,Click,Director,http://www.imdb.com/title/tt0389860/,Click,http://www.boxofficemojo.com/movies/?id=click.htm,7413,nm0178997,6/23/2006,4/14/2006
411,Peter Berg,http://www.imdb.com/name/nm0000916/,2004,Friday Night Lights - Touchdown am Freitag,Director,http://www.imdb.com/title/tt0390022/,Friday Night Lights,http://www.boxofficemojo.com/movies/?id=fridaynightlights.htm,1638,nm0000916,10/8/2004,7/30/2004
412,Joshua Marston,http://www.imdb.com/name/nm0551358/,2004,Maria Full of Grace,Director,http://www.imdb.com/title/tt0390221/,Maria Full of Grace,http://www.boxofficemojo.com/movies/?id=mariafullofgrace.htm,1237274,nm0551358,7/16/2004,5/7/2004
413,Shane Carruth,http://www.imdb.com/name/nm1503403/,2004,Primer,Director,http://www.imdb.com/title/tt0390384/,Prime,http://www.boxofficemojo.com/movies/?id=prime.htm,6615,nm1503403,10/28/2005,8/19/2005
414,Morgan Spurlock,http://www.imdb.com/name/nm1041597/,2004,Super Size Me,Director,http://www.imdb.com/title/tt0390521/,Super Size Me,http://www.boxofficemojo.com/movies/?id=supersizeme.htm,18267,nm1041597,5/7/2004,2/27/2004
415,Jehane Noujaim,http://www.imdb.com/name/nm0636675/,2004,Control Room,Director,http://www.imdb.com/title/tt0391024/,Control Room,http://www.boxofficemojo.com/movies/?id=controlroom.htm,56183,nm0636675,5/21/2004,3/12/2004
416,Takashi Shimizu,http://www.imdb.com/name/nm1234345/,2004,The Grudge,Director,http://www.imdb.com/title/tt0391198/,The Grudge,http://www.boxofficemojo.com/movies/?id=grudge.htm,4307,nm1234345,10/22/2004,8/13/2004
417,Nigel Cole,http://www.imdb.com/name/nm0170719/,2005,A Lot Like Love,Director,http://www.imdb.com/title/tt0391304/,A Lot Like Love,http://www.boxofficemojo.com/movies/?id=lotlikelove.htm,11711,nm0170719,4/22/2005,2/11/2005
418,Thomas Carter,http://www.imdb.com/name/nm0141961/,2005,Coach Carter,Director,http://www.imdb.com/title/tt0393162/,Coach Carter,http://www.boxofficemojo.com/movies/?id=coachcarter.htm,10603,nm0141961,1/14/2005,11/5/2004
419,Alastair Fothergill,http://www.imdb.com/name/nm0288144/,2007,Earth,Director,http://www.imdb.com/title/tt0393597/,Earth (2009),http://www.boxofficemojo.com/movies/?id=earth09.htm,45093,nm0288144,4/22/2009,2/11/2009
420,Mark Linfield,http://www.imdb.com/name/nm1768412/,2007,Earth,Director,http://www.imdb.com/title/tt0393597/,Earth (2009),http://www.boxofficemojo.com/movies/?id=earth09.htm,132915,nm1768412,4/22/2009,2/11/2009
421,Brian Robbins,http://www.imdb.com/name/nm0005367/,2006,The Shaggy Dog,Director,http://www.imdb.com/title/tt0393735/,The Shaggy Dog,http://www.boxofficemojo.com/movies/?id=shaggydog.htm,8989,nm0005367,3/10/2006,12/30/2005
422,Terry George,http://www.imdb.com/name/nm0313623/,2004,Hotel Rwanda,Director,http://www.imdb.com/title/tt0395169/,Hotel Rwanda,http://www.boxofficemojo.com/movies/?id=hotelrwanda.htm,12966,nm0313623,12/22/2004,10/13/2004
423,Susan Stroman,http://www.imdb.com/name/nm0834893/,2005,The Producers,Director,http://www.imdb.com/title/tt0395251/,The Producers,http://www.boxofficemojo.com/movies/?id=producers.htm,10666,nm0834893,12/16/2005,10/7/2005
424,Susannah Grant,http://www.imdb.com/name/nm0335666/,2006,Catch and Release,Director,http://www.imdb.com/title/tt0395495/,Catch and Release,http://www.boxofficemojo.com/movies/?id=catchandrelease.htm,16510,nm0335666,1/26/2007,11/17/2006
425,Rob Zombie,http://www.imdb.com/name/nm0957772/,2005,The Devil's Rejects,Director,http://www.imdb.com/title/tt0395584/,The Devil's Rejects,http://www.boxofficemojo.com/movies/?id=devilsrejects.htm,1638,nm0957772,7/22/2005,5/13/2005
426,Adam Shankman,http://www.imdb.com/name/nm0788202/,2005,The Pacifier,Director,http://www.imdb.com/title/tt0395699/,The Pacifier,http://www.boxofficemojo.com/movies/?id=pacifier.htm,7133,nm0788202,3/4/2005,12/24/2004
427,Niki Caro,http://www.imdb.com/name/nm0138927/,2005,North Country,Director,http://www.imdb.com/title/tt0395972/,North Country,http://www.boxofficemojo.com/movies/?id=northcountry.htm,9417,nm0138927,10/21/2005,8/12/2005
428,David Dobkin,http://www.imdb.com/name/nm0229694/,2005,Wedding Crashers,Director,http://www.imdb.com/title/tt0396269/,Wedding Crashers,http://www.boxofficemojo.com/movies/?id=weddingcrashers.htm,8118,nm0229694,7/15/2005,5/6/2005
429,Stephen J. Anderson,http://www.imdb.com/name/nm0027459/,2007,Meet the Robinsons,Director,http://www.imdb.com/title/tt0396555/,Meet the Robinsons,http://www.boxofficemojo.com/movies/?id=meettherobinsons.htm,22873,nm0027459,3/30/2007,1/19/2007
430,Joel Zwick,http://www.imdb.com/name/nm0959034/,2004,Fat Albert,Director,http://www.imdb.com/title/tt0396592/,Fat Albert,http://www.boxofficemojo.com/movies/?id=fatalbert.htm,3666,nm0959034,12/25/2004,10/16/2004
431,Tim Fywell,http://www.imdb.com/name/nm0299563/,2005,Ice Princess,Director,http://www.imdb.com/title/tt0396652/,Ice Princess,http://www.boxofficemojo.com/movies/?id=iceprincess.htm,22907,nm0299563,3/18/2005,1/7/2005
432,Kirk Jones,http://www.imdb.com/name/nm0428600/,2005,Nanny McPhee,Director,http://www.imdb.com/title/tt0396752/,Nanny McPhee,http://www.boxofficemojo.com/movies/?id=nannymcphee.htm,11379,nm0428600,1/27/2006,11/18/2005
433,Katja von Garnier,http://www.imdb.com/name/nm0902290/,2007,Blood and Chocolate,Director,http://www.imdb.com/title/tt0397044/,Blood and Chocolate,http://www.boxofficemojo.com/movies/?id=bloodandchocolate.htm,22335,nm0902290,1/26/2007,11/17/2006
434,Jaume Collet-Serra,http://www.imdb.com/name/nm1429471/,2005,La maison de cire,Director,http://www.imdb.com/title/tt0397065/,House of Wax,http://www.boxofficemojo.com/movies/?id=houseofwax.htm,3876,nm1429471,5/6/2005,2/25/2005
435,Donald Petrie,http://www.imdb.com/name/nm0677953/,2006,Just My Luck,Director,http://www.imdb.com/title/tt0397078/,Just My Luck,http://www.boxofficemojo.com/movies/?id=justmyluck.htm,14321,nm0677953,5/12/2006,3/3/2006
436,Iain Softley,http://www.imdb.com/name/nm0812200/,2005,The Skeleton Key,Director,http://www.imdb.com/title/tt0397101/,The Skeleton Key,http://www.boxofficemojo.com/movies/?id=skeletonkey.htm,9277,nm0812200,8/12/2005,6/3/2005
437,Frank Marshall,http://www.imdb.com/name/nm0550881/,2006,Eight Below,Director,http://www.imdb.com/title/tt0397313/,Eight Below,http://www.boxofficemojo.com/movies/?id=antarctica.htm,9086,nm0550881,2/17/2006,12/9/2005
438,Rob Marshall,http://www.imdb.com/name/nm0551128/,2005,Memoirs of a Geisha,Director,http://www.imdb.com/title/tt0397535/,Memoirs of a Geisha,http://www.boxofficemojo.com/movies/?id=memoirsofageisha.htm,4928,nm0551128,12/9/2005,9/30/2005
439,Byron Howard,http://www.imdb.com/name/nm0397174/,2008,Bolt,Director,http://www.imdb.com/title/tt0397892/,Bolt,http://www.boxofficemojo.com/movies/?id=bolt.htm,24434,nm0397174,11/21/2008,9/12/2008
440,Chris Williams,http://www.imdb.com/name/nm0930261/,2008,Bolt,Director,http://www.imdb.com/title/tt0397892/,Bolt,http://www.boxofficemojo.com/movies/?id=bolt.htm,29265,nm0930261,11/21/2008,9/12/2008
441,Mikael Håfström,http://www.imdb.com/name/nm0405632/,2005,Derailed,Director,http://www.imdb.com/title/tt0398017/,Derailed,http://www.boxofficemojo.com/movies/?id=derailed.htm,14070,nm0405632,11/11/2005,9/2/2005
442,Peter Segal,http://www.imdb.com/name/nm0781842/,2005,The Longest Yard,Director,http://www.imdb.com/title/tt0398165/,The Longest Yard,http://www.boxofficemojo.com/movies/?id=longestyard05.htm,7418,nm0781842,5/27/2005,3/18/2005
443,Nathan Greno,http://www.imdb.com/name/nm1977355/,2010,Tangled,Director,http://www.imdb.com/title/tt0398286/,Tangled,http://www.boxofficemojo.com/movies/?id=rapunzel.htm,36408,nm1977355,11/24/2010,9/15/2010
444,Byron Howard,http://www.imdb.com/name/nm0397174/,2010,Tangled,Director,http://www.imdb.com/title/tt0398286/,Tangled,http://www.boxofficemojo.com/movies/?id=rapunzel.htm,34670,nm0397174,11/24/2010,9/15/2010
445,Rob Reiner,http://www.imdb.com/name/nm0001661/,2005,Rumor Has It...,Director,http://www.imdb.com/title/tt0398375/,Rumor Has It,http://www.boxofficemojo.com/movies/?id=rumorhasit.htm,1648,nm0001661,12/25/2005,10/16/2005
446,Jean-François Richet,http://www.imdb.com/name/nm0724938/,2005,Assaut sur le central 13,Director,http://www.imdb.com/title/tt0398712/,Assault on Precinct 13,http://www.boxofficemojo.com/movies/?id=assaultonprecinct13.htm,10205,nm0724938,1/19/2005,11/10/2004
447,Gabor Csupo,http://www.imdb.com/name/nm0190780/,2007,Bridge to Terabithia,Director,http://www.imdb.com/title/tt0398808/,Bridge to Terabithia,http://www.boxofficemojo.com/movies/?id=bridgetoterabithia.htm,11244,nm0190780,2/16/2007,12/8/2006
448,Robert C. Ramirez,http://www.imdb.com/name/nm0708371/,2004,Clifford's Really Big Movie,Director,http://www.imdb.com/title/tt0398872/,Clifford's Really Big Movie,http://www.boxofficemojo.com/movies/?id=cliffordsreallybigmovie.htm,74143,nm0708371,4/20/2004,2/10/2004
449,David Cronenberg,http://www.imdb.com/name/nm0000343/,2005,A History of Violence,Director,http://www.imdb.com/title/tt0399146/,A History of Violence,http://www.boxofficemojo.com/movies/?id=historyofviolence.htm,1312,nm0000343,9/23/2005,7/15/2005
450,Michael Bay,http://www.imdb.com/name/nm0000881/,2005,The Island,Director,http://www.imdb.com/title/tt0399201/,The Island,http://www.boxofficemojo.com/movies/?id=island05.htm,1443,nm0000881,7/22/2005,5/13/2005
451,Andrew Niccol,http://www.imdb.com/name/nm0629272/,2005,Lord of War,Director,http://www.imdb.com/title/tt0399295/,Lord of War,http://www.boxofficemojo.com/movies/?id=lordofwar.htm,3488,nm0629272,9/16/2005,7/8/2005
452,Les Mayfield,http://www.imdb.com/name/nm0562645/,2005,Le boss,Director,http://www.imdb.com/title/tt0399327/,The Man,http://www.boxofficemojo.com/movies/?id=man.htm,13047,nm0562645,9/9/2005,7/1/2005
453,Jim Hanon,http://www.imdb.com/name/nm1268721/,2005,End of the Spear,Director,http://www.imdb.com/title/tt0399862/,End of the Spear,http://www.boxofficemojo.com/movies/?id=endofthespear.htm,66424,nm1268721,1/20/2006,11/11/2005
454,William Arntz,http://www.imdb.com/name/nm0036802/,2004,What the #$*! Do We (K)now!?,Director,http://www.imdb.com/title/tt0399877/,What the #$*! Do We Know?!,http://www.boxofficemojo.com/movies/?id=whatthe.htm,1365763,nm0036802,2/6/2004,11/28/2003
455,Mark Vicente,http://www.imdb.com/name/nm0895917/,2004,What the #$*! Do We (K)now!?,Director,http://www.imdb.com/title/tt0399877/,What the #$*! Do We Know?!,http://www.boxofficemojo.com/movies/?id=whatthe.htm,210453,nm0895917,2/6/2004,11/28/2003
456,Betsy Chasse,http://www.imdb.com/name/nm0153912/,2004,What the #$*! Do We (K)now!?,Director,http://www.imdb.com/title/tt0399877/,What the #$*! Do We Know?!,http://www.boxofficemojo.com/movies/?id=whatthe.htm,348732,nm0153912,2/6/2004,11/28/2003
457,Michael Schultz,http://www.imdb.com/name/nm0776317/,2004,Woman Thou Art Loosed,Director,http://www.imdb.com/title/tt0399901/,"Woman, Thou Art Loosed",http://www.boxofficemojo.com/movies/?id=womanthouartloosed.htm,14197,nm0776317,10/1/2004,7/23/2004
458,Ghyslaine Côté,http://www.imdb.com/name/nm0194774/,2004,The Five of Us,Director,http://www.imdb.com/title/tt0400400/,Elles etaient cinq,http://www.boxofficemojo.com/movies/?id=ellesetaientcinq.htm,211635,nm0194774,8/27/2004,6/18/2004
459,Angela Robinson,http://www.imdb.com/name/nm1286340/,2005,Herbie Fully Loaded,Director,http://www.imdb.com/title/tt0400497/,Herbie: Fully Loaded,http://www.boxofficemojo.com/movies/?id=herbie05.htm,7349,nm1286340,6/22/2005,4/13/2005
460,Harold Ramis,http://www.imdb.com/name/nm0000601/,2005,The Ice Harvest,Director,http://www.imdb.com/title/tt0400525/,The Ice Harvest,http://www.boxofficemojo.com/movies/?id=iceharvest.htm,1776,nm0000601,11/23/2005,9/14/2005
461,Anthony Stacchi,http://www.imdb.com/name/nm0820934/,2006,Open Season,Director,http://www.imdb.com/title/tt0400717/,Open Season,http://www.boxofficemojo.com/movies/?id=openseason06.htm,134258,nm0820934,9/29/2006,7/21/2006
